Title,Company,Location,Contract,Salary,Description
Responsable Data Scientist (F/H),Jennyfer,93400 Saint-Ouen,CDI,Negotiable,Concevoir des outils d’analyse et de data-visualisation.
Sénior Data Scientist (H/F),Invivoo,Paris (75),De 40 000 € à 70 000 € par an,De 40 000 € à 70 000 € par an,"Chaque mardi, 19h, nous vous envoyons les dernières opportunités."
Data scientist,FABDEV,75015 Paris 15e,De 40 000 € à 70 000 € par an,Negotiable,"Nous sommes constamment à l'écoute de nouveaux projets data, vous pourrez proposer de nouvelles idées, travaillerez en autonomie sur vos projets, mais serez…"
Data Scientist H/F,Assystem,Courbevoie (92),De 40 000 € à 70 000 € par an,Negotiable,"Le monde de l'ingénierie est en pleine mutation et l'avancée de la digitalisation s'appuie notamment sur une quantité massive de données exploitables, au…"
Data Scientist,SBM Offshore,Monaco (06),De 40 000 € à 70 000 € par an,Negotiable,"Prepare data by going through features engineering, data cleaning and all activities needed to construct data sets ready for modelling;"
Ingénieur Data Scientist H/F,Actia Automotive,Toulouse (31),De 40 000 € à 70 000 € par an,Negotiable,Missions du poste à pourvoir.
#AGGP - Data Scientist - Natural Langage Processing (NLP) m/f,Airbus,13700 Marignane,De 40 000 € à 70 000 € par an,Negotiable,Experience with big data platforms (e. g. Palantir).
Data Analyst H/F,Capgemini,Aix-en-Provence (13),De 40 000 € à 70 000 € par an,Negotiable,TRAVAILLER CHEZ SOGETI AIX EN PROVENCE.
Data Scientist M/F,Danone,Rueil-Malmaison (92),De 40 000 € à 70 000 € par an,Negotiable,Explore the potential of a raw data set.
Data Analyst H/F,LCL,94811 Villejuif,De 40 000 € à 70 000 € par an,Negotiable,Statut cadre
DATA SCIENTIST (F/H),Saint-Gobain,Télétravail hybride à 92096 Courbevoie,De 40 000 € à 70 000 € par an,Negotiable,"Vous maîtrisez les algorithmes d'apprentissage automatique (Machine Learning), des langages de programmation communs (Python, Julia, etc.), justifiez de bonnes…"
Data & AI Program Performance Analyst,LVMH Holdings,Paris 8e (75),De 40 000 € à 70 000 € par an,Negotiable,"Proficiency in data analysis, data visualization, and performance reporting."
CDI - Ingénieur Data Scientist H/F,Naval Group,Toulon (83),De 40 000 € à 70 000 € par an,Negotiable,"O Valider les résultats obtenus par les différents data scientists, garantir leur pertinence, leur rigueur et leur qualité."
Data Scientist F/H,AUCHAN RETAIL SERVICES,59491 Villeneuve-d'Ascq,De 40 000 € à 70 000 € par an,Negotiable,Nous recherchons un Data Scientist F/H pour notre Direction Connaissance clients et Data Intelligence sur Villeneuve-d'Ascq.
Data Scientist (F/M),Younited Credit,75009 Paris,De 40 000 € à 70 000 € par an,Negotiable,"Reporting to the Head of Data, and working closely with the data engineering & data analytics teams, you will be in charge of :"
Data Analyst F/H,Daher,Nantes (44),De 40 000 € à 70 000 € par an,Negotiable,Vous avez une appétence pour la data analyse et la gestion de projet.
Data Scientist Positio,PARIS-SACLAY CENTER FOR DATA SCIENCE,Orsay (91),None,Negotiable,Accompany data scientists in their methodological research.
Data Scientist,Artefact,75009 Paris,None,Negotiable,"Strong experience and knowledge of data processing, data modelling, algorithms, and data architecture would be greatly appreciated;"
Data scientist DATAMART F/H,DSI Group,Maisons-Alfort (94),None,Negotiable,De faciliter la maintenance du Datamart par les équipes de la DEEP Il est précisé ici que les volumétries traitées pour l’alimentation du Datamart sont très…
Data Scientist - COPERNEEC,Coperneec,Paris (75),None,Negotiable,"Les expertises de nos consultants couvrent toute la chaîne des savoir-faire : Data Science, Data Analysis, Data Engineering et Data Business Analysis."
Data Scientist III,American Express Global Business Travel,Courbevoie (92),None,Negotiable,Extract and combine data from multiple data sources for model building or analytics using SQL or query language.
#AGGP - Data Scientist - Natural Langage Processing (NLP) m/f,Airbus,13700 Marignane,None,Negotiable,Experience with big data platforms (e. g. Palantir).
Data Analyst Power BI (IT),Altansia,Paris (75),None,De 46 000 € à 55 000 € par an,Assister les métiers dans leur découverte des données du datalake.
DATA SCIENTIST NLP,Aquila Consulting,Paris (75),None,Negotiable,"À votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l'analyse statistique,."
Ingénieure / Ingénieur Data Science H/F,EDF,"Paris (75)
+ 1 lieu",None,Negotiable,"EDF R&D a pour missions principales de contribuer à l’amélioration de la performance des unités opérationnelles du groupe EDF, d'identifier et de préparer les…"
Data Scientist (H / F),Insitoo,Nantes (44),None,Negotiable,Développer des algorithmes de Data Science en cohérence avec le besoin métier.
Data analyst,Foncia,Antony (92),None,Negotiable,"Rattaché·e au Pôle Migration Factory de la Direction Financière du Groupe, vous intégrez l'équipe responsable des reprises de données du groupe dans le cadre…"
DATA SCIENTIST (F/H) – Pré-embauch,ALTERSIS,Aix-en-Provence (13),None,Negotiable,"Vous êtes ingénieur / data scientist spécialisé en mathématiques appliquées, machine learning et/ou traitement du signal."
Data analyst H/F,BforBank,Télétravail hybride à La Défense (92),None,Negotiable,Statut cadre
