Title,Company,Location,Contract,Salary,Description
Développeur .Net - Angular H/F,Lynx Rh,Angers (49),De 40 000 € à 45 000 € par an,De 40 000 € à 50 000 € par an,Angers Lynx Rh CDI Informatique Développeur .NET.
Développeur VueJS / Freelanc,Pixie Services France,"Télétravail à Paris (75)
+ 1 lieu",De 40 000 € à 45 000 € par an,De 400 € à 550 € par jour,"Nous recherchons pour notre client parisien, un développeur VueJS CSS confirmé ou sénior."
DÉVELOPPEUR JUNIOR C#.NET/SQL SERVER (AST2022-POS-001),Lobellia,Montrouge (92),De 40 000 € à 45 000 € par an,Negotiable,"Dans ce cadre, vous serez formé et encadré sur l’utilisation des différents outils de développement utilisés (Microsoft SQL Serveur, SSIS, C#."
Développeur Front-End,Coopeo,Nantes (44),De 40 000 € à 45 000 € par an,Negotiable,Un savoir-faire que nous sommes seuls à offrir en Europe.
Développeur Back-End (Nodejs),Job2BeDone,Paris (75),De 40 000 € à 45 000 € par an,Negotiable,Un Talent CRM qui permet aux recruteurs d'automatiser les étapes du recrutement qu'ils souhaitent et personnaliser la relation candidat.
Développeur(euse) Mobile F/H/NB - CDI,Disneyland Paris,Montévrain (77),CDI,Negotiable,Garantir la performance et l’exploitabilité des développements.
Développeur.se DRUPAL Confirmé.,userADgents,Télétravail à Paris (75),CDI,Negotiable,"Dring. Le premier iPhone d'Apple sonne, ou plutôt sort, et la machine s'emballe."
Développeur PowerBI H/F,HR-TEAM,Paris (75),CDI,De 45 000 € à 65 000 € par an,Recueillir les besoins des différentes directions et les formaliser.
Développeur Front Vuejs H/F,Silae,Nantes (44),CDI,Negotiable,Tu suivras et mettras en oeuvre les principes de l'Atomic Design.
Développeur Java J2ee Angular (H/F),Ilyeum,Paris (75),CDI,De 45 000 € à 50 000 € par an,"Fondée en 2010, ILYEUM est un ESN spécialisée dans le digital et la data qui appartient au groupe FUZYO, une holding internationale."
Développeur .NET H/F,AKTISEA,Télétravail hybride à Nantes (44),CDI,Negotiable,Coachez les développeurs juniors et montez en compétences au contact des développeurs seniors ;
Développeur Kotlin F/H,Kent FR,Télétravail hybride à 92100 Boulogne-Billancourt,CDI,De 40 000 € à 45 000 € par an,"Dans une entreprise leader dans le domaine de l'industrie, vous pourrez vous épanouir en tant que Développeur Kotlin au sein d'une équipe prête à tout pour…"
Développement d’outils red team Dev,Synacktiv,Paris (75),CDI,43 200 € par an,"Dans le cadre de ses différentes prestations, Synacktiv doit en effet maintenir et faire évoluer continuellement son arsenal afin d’assurer la disponibilité d…"
DÉVELOPPEUR PHP JUNIOR H/F,KAIMAN,La Seyne-sur-Mer (83),CDI,De 28 000 € à 34 000 € par an,"Développeur PHP Javascript Junior, deux ans d’expérience."
Développeur backend Python / Freelanc,Kaïbee,Paris (75),CDI,De 400 € à 650 € par jour,
Développeur Java - Angular H/F,Seyos,Nantes (44),CDI,De 35 000 € à 45 000 € par an,Nantes Seyos CDI Informatique Développeur Java.
Développeur Javascript (H/F),Extia,"Paris (75)
+ 1 lieu",CDI,Negotiable,"Ayant soif d’apprendre, vous aimez prendre part aux projets les plus novateurs,."
Développeur réseau (h/f),BYmyCAR,Boulogne-Billancourt (92),CDI,De 35 000 € à 45 000 € par an,Une entreprise qui s'adapte aux tendances du marché en mettant en avant l'auto-mobilité.
Développeur Flutter (H/F) / Freelanc,Link Consulting,Télétravail à Toulouse (31),CDI,De 400 € à 550 € par jour,"Notre client, dans le secteur de la e-santé est à la recherche de son futur Développeur Flutter (H/F) pour son site de Toulouse ou en Full remote. ??"
Développeur Back End Junior / Freelanc,Aepsilon,Valbonne (06),CDI,De 300 € à 310 € par jour,";) Responsabilités : On comptera sur vous pour réaliser des analyses, des prototypes et paramétrer les nouveaux services applicatifs (en blockly) dans le…"
Développeur - Open Full Remote H/F,Aplicit,"Télétravail à Nantes (44)
+ 4 lieux",CDI,Negotiable,Nous recrutons un développeur pour réaliser les applications demandées par nos clients utilisant nos solutions de simulation et fabrication assistée par…
