Title,Company,Location,Contract,Salary,Description
INGENIEUR DEVOPS – RENNES OU MORBIHAN,NOVA Technology,Grand (88),De 50 000 € à 55 000 € par an,Negotiable,P articip ation à l’évolution d’une exploitation traditionnelle vers une exploitation DevOps .
Ingénieur DevOps (H/F),axYus,"Limoges (87)
+ 2 lieux",De 50 000 € à 55 000 € par an,Negotiable,"L’accompagnement de nos équipes de développement sur le CI/CD,."
Developpeur(se) DEVOPS (H/F),TALENTS IT,Saint-Just-Saint-Rambert (42),De 50 000 € à 55 000 € par an,De 40 000 € à 70 000 € par an,Notre client final est basé à Saint Etienne (42).
Ingénieur DevOps Cloud AWS H/F,Abeille assurances,Bois-Colombes (92),De 50 000 € à 55 000 € par an,Negotiable,Outils d’intégration continue (idéalement Jenkins) et CI/CD.
Ingénieur DevOps F/H,Orange Business Services,"Lyon (69)
+ 5 lieux",De 50 000 € à 55 000 € par an,Negotiable,"Vous aurez en charge la conception, la construction et la garantie technique des services de nos clients."
Devops / Sysops (H/F),AGYSOFT,Montpellier (34),None,Negotiable,"Dans l’équipe de développement (6p), vous aurez un rôle central dans le service de recherche et développement et ferez le lien avec les autres équipes infra du…"
"DevOps Junior (Ansible, Terraform)",Sept Lieues,Paris (75),None,De 45 000 € à 55 000 € par an,45K/55K + Bonus sur objectifs + Stock-options + Actions + RTT.
STAGE - Ingénieur DevOps Cloud,Canal Plus,Puteaux (92),None,Negotiable,"Développer les modules/recettes de déploiements aux standards pour les différents services on premise et on cloud via Terraform (provisionning), Ansible (config…"
Devops - Sncf Connect H/F,SNCF Connect & Tech,Nantes (44),None,Negotiable,SNCF Connect & Tech est le leader du numérique et du e-commerce français dans le secteur des mobilités qui réunit les compétences numériques au service du…
Développeur web et mobiles F/H,EDF,Saint-Vulbas (01),None,Negotiable,"Les solutions locales peuvent être basées sur la plateforme M365 de Microsoft (SharePoint, TEAMS, PowerApps, PowerBI…), sur des développements Web ou encore sur…"
Consultant DevOps Junior H/F,Solutec,31400 Toulouse,None,Negotiable,Nous recherchons pour notre agence Toulousaine un(e) Consultant(e) Junior DevOps.
DEVOPS F/H,Studiel,Sophia Antipolis (06),None,Negotiable,"Celle-ci reposera sur une infrastructure élastique Jenkins, dans un environnement conteneurisé (Docker), s'exécutant sur des ressources cloud (AWS)."
Stage / Alternance - Intégrateur(trice) HTML/ Emailing,Numberly,75009 Paris 9e,None,Negotiable,Numberly est reconnu comme l’un des meilleurs spécialistes mondiaux du Data Marketing avec près de 500 collaborateurs et 8 bureaux dans le monde au service de…
Ingenieur DevOps - H/F,ATOL Conseils et Développements,"Dijon (21)
+ 1 lieu",None,Negotiable,Atol Conseils et Développements conçoit et développe des applications web et mobile au profit d’acteurs majeurs des secteurs publics et privés en France.
Consultant système Linux et Devops,Syloé,Télétravail hybride à 34000 Montpellier,None,De 40 000 € à 60 000 € par an,Rédaction de reportings détaillés et de procédures d’exploitation.
Ingénieur DevOps – F/H,Pictime Groupe,Villeneuve-d'Ascq (59),None,Negotiable,
Administratrice ou Administrateur Système / DevOps,Logilab,75013 Paris,None,De 35 000 € à 45 000 € par an,Environnement Unix/Linux (Debian si possible) ;
